J       CT       CP       eta
0.131   0.0593   0.0311   0.249
0.163   0.0552   0.0305   0.296
0.194   0.0510   0.0298   0.333
0.232   0.0455   0.0286   0.369
0.263   0.0410   0.0275   0.393
0.298   0.0355   0.0260   0.407
0.330   0.0309   0.0248   0.411
0.366   0.0253   0.0232   0.399
0.394   0.0207   0.0218   0.373
0.431   0.0143   0.0198   0.311
0.459   0.0094   0.0181   0.239
0.491   0.0034   0.0158   0.105
0.530   -0.0042   0.0128   -0.176
0.557   -0.0100   0.0105   -0.531
0.588   -0.0165   0.0078   -1.244
