J       CT       CP       eta
0.095   0.1140   0.0511   0.211
0.121   0.1100   0.0507   0.262
0.146   0.1052   0.0498   0.308
0.169   0.1011   0.0491   0.347
0.192   0.0969   0.0484   0.384
0.217   0.0922   0.0475   0.422
0.240   0.0886   0.0469   0.454
0.267   0.0835   0.0459   0.486
0.290   0.0795   0.0452   0.510
0.316   0.0750   0.0444   0.533
0.334   0.0714   0.0438   0.546
0.358   0.0665   0.0427   0.558
0.381   0.0618   0.0416   0.566
0.408   0.0558   0.0399   0.570
0.431   0.0505   0.0385   0.566
0.454   0.0452   0.0370   0.554
0.477   0.0395   0.0354   0.533
