J       CT       CP       eta
0.374   0.0821   0.0561   0.547
0.396   0.0792   0.0558   0.562
0.415   0.0763   0.0552   0.573
0.436   0.0729   0.0546   0.582
0.457   0.0698   0.0539   0.592
0.481   0.0663   0.0532   0.599
0.505   0.0623   0.0522   0.603
0.522   0.0591   0.0512   0.603
0.543   0.0559   0.0502   0.604
0.571   0.0507   0.0484   0.598
0.591   0.0469   0.0469   0.591
0.610   0.0440   0.0459   0.585
0.636   0.0387   0.0436   0.565
0.656   0.0349   0.0419   0.546
0.680   0.0301   0.0396   0.516
0.698   0.0264   0.0377   0.489
0.725   0.0208   0.0348   0.434
0.742   0.0174   0.0330   0.392
0.767   0.0121   0.0300   0.308
0.785   0.0085   0.0281   0.238
0.811   0.0024   0.0244   0.078
0.830   -0.0027   0.0222   -0.100
0.856   -0.0094   0.0183   -0.439
0.870   -0.0126   0.0163   -0.673
