J       CT       CP       eta
0.077   0.1001   0.0452   0.171
0.100   0.0972   0.0452   0.214
0.126   0.0936   0.0451   0.262
0.149   0.0907   0.0451   0.299
0.173   0.0873   0.0449   0.336
0.196   0.0836   0.0445   0.368
0.218   0.0796   0.0440   0.395
0.243   0.0745   0.0430   0.421
0.267   0.0698   0.0421   0.442
0.292   0.0644   0.0409   0.459
0.313   0.0602   0.0399   0.472
0.338   0.0552   0.0385   0.485
0.360   0.0511   0.0373   0.492
0.386   0.0462   0.0359   0.497
0.407   0.0426   0.0349   0.497
0.432   0.0375   0.0333   0.487
0.450   0.0339   0.0320   0.476
