J       CT       CP       eta
0.105   0.1044   0.0486   0.226
0.133   0.1029   0.0493   0.278
0.156   0.1007   0.0494   0.317
0.183   0.0980   0.0497   0.362
0.209   0.0953   0.0499   0.399
0.238   0.0919   0.0501   0.437
0.265   0.0888   0.0502   0.469
0.291   0.0851   0.0502   0.493
0.317   0.0809   0.0499   0.514
0.340   0.0768   0.0492   0.530
0.371   0.0704   0.0479   0.545
0.396   0.0652   0.0465   0.555
0.425   0.0590   0.0447   0.560
0.447   0.0538   0.0430   0.560
0.475   0.0472   0.0406   0.553
0.503   0.0410   0.0382   0.539
0.524   0.0360   0.0361   0.523
