J       CT       CP       eta
0.115   0.1046   0.0476   0.252
0.143   0.1004   0.0472   0.304
0.173   0.0956   0.0465   0.355
0.199   0.0914   0.0459   0.397
0.231   0.0864   0.0452   0.442
0.263   0.0808   0.0442   0.481
0.290   0.0760   0.0433   0.509
0.319   0.0711   0.0426   0.532
0.350   0.0649   0.0413   0.550
0.377   0.0595   0.0401   0.559
0.408   0.0526   0.0383   0.561
0.432   0.0474   0.0370   0.554
0.461   0.0406   0.0351   0.532
0.487   0.0342   0.0334   0.499
0.520   0.0258   0.0312   0.430
0.548   0.0182   0.0291   0.342
0.576   0.0100   0.0268   0.215
