J       CT       CP       eta
0.162   0.1321   0.0763   0.280
0.199   0.1271   0.0752   0.336
0.240   0.1207   0.0738   0.392
0.275   0.1147   0.0724   0.436
0.325   0.1060   0.0706   0.488
0.363   0.0986   0.0688   0.520
0.406   0.0887   0.0656   0.548
0.440   0.0796   0.0623   0.563
0.482   0.0699   0.0588   0.573
0.521   0.0603   0.0550   0.571
0.567   0.0498   0.0513   0.551
0.608   0.0397   0.0472   0.511
0.648   0.0295   0.0430   0.445
0.682   0.0200   0.0389   0.350
0.723   0.0081   0.0339   0.174
0.764   -0.0043   0.0286   -0.114
0.804   -0.0168   0.0232   -0.582
