RPM    CT       CP
2492   0.1272   0.1096
2807   0.1288   0.1106
3080   0.1321   0.1144
3348   0.1295   0.1124
3658   0.1302   0.1107
3946   0.1313   0.1109
4216   0.1319   0.1102
4504   0.1317   0.1093
4797   0.1315   0.1069
5076   0.1331   0.1068
5358   0.1344   0.1060
5657   0.1360   0.1060
5957   0.1380   0.1048
6227   0.1388   0.1035
6510   0.1392   0.1024
6800   0.1415   0.1010
