J       CT       CP       eta
0.110   0.1035   0.0559   0.205
0.134   0.1039   0.0552   0.252
0.154   0.1027   0.0553   0.286
0.182   0.1014   0.0556   0.331
0.209   0.0993   0.0555   0.374
0.238   0.0977   0.0559   0.415
0.264   0.0953   0.0560   0.450
0.290   0.0930   0.0560   0.481
0.318   0.0903   0.0561   0.512
0.344   0.0877   0.0560   0.539
0.370   0.0847   0.0559   0.561
0.395   0.0818   0.0556   0.581
0.417   0.0792   0.0556   0.595
0.446   0.0753   0.0551   0.610
0.470   0.0716   0.0545   0.617
0.497   0.0678   0.0542   0.622
0.522   0.0632   0.0531   0.621
