RPM    CT       CP
1468   0.0985   0.0496
1764   0.1053   0.0496
1984   0.1087   0.0499
2202   0.1065   0.0487
2474   0.1080   0.0480
2816   0.1085   0.0482
3026   0.1118   0.0488
3307   0.1108   0.0480
3517   0.1124   0.0485
3772   0.1135   0.0488
4015   0.1134   0.0482
4278   0.1145   0.0485
4499   0.1143   0.0482
4808   0.1139   0.0479
5056   0.1147   0.0481
5320   0.1148   0.0481
