J       CT       CP       eta
0.105   0.1139   0.0666   0.179
0.127   0.1130   0.0668   0.214
0.156   0.1103   0.0667   0.259
0.181   0.1083   0.0668   0.294
0.209   0.1056   0.0667   0.330
0.232   0.1034   0.0668   0.359
0.261   0.1003   0.0666   0.393
0.288   0.0972   0.0665   0.421
0.315   0.0936   0.0661   0.446
0.340   0.0902   0.0656   0.467
0.366   0.0874   0.0655   0.487
0.388   0.0842   0.0651   0.502
0.416   0.0804   0.0644   0.519
0.443   0.0767   0.0638   0.533
0.468   0.0730   0.0630   0.542
0.492   0.0692   0.0621   0.548
0.523   0.0641   0.0607   0.553
