RPM    CT       CP
2501   0.0834   0.0497
2745   0.0854   0.0502
3110   0.0872   0.0494
3377   0.0899   0.0491
3665   0.0899   0.0481
3931   0.0911   0.0480
4260   0.0919   0.0477
4513   0.0924   0.0474
4801   0.0938   0.0475
5083   0.0945   0.0474
5384   0.0951   0.0473
5666   0.0962   0.0471
5945   0.0983   0.0468
6225   0.0997   0.0464
6530   0.0997   0.0462
6816   0.0994   0.0458
