J       CT       CP       eta
0.095   0.0933   0.0401   0.221
0.122   0.0898   0.0400   0.275
0.143   0.0864   0.0397   0.312
0.168   0.0828   0.0395   0.353
0.190   0.0788   0.0389   0.385
0.215   0.0741   0.0382   0.418
0.239   0.0695   0.0372   0.446
0.261   0.0651   0.0363   0.469
0.285   0.0602   0.0351   0.488
0.305   0.0559   0.0341   0.501
0.328   0.0513   0.0329   0.512
0.355   0.0457   0.0314   0.517
0.376   0.0412   0.0301   0.515
0.399   0.0365   0.0288   0.506
0.421   0.0318   0.0275   0.487
0.448   0.0258   0.0258   0.448
0.471   0.0205   0.0241   0.401
