J       CT       CP       eta
0.128   0.1145   0.0578   0.254
0.162   0.1105   0.0577   0.311
0.197   0.1069   0.0579   0.364
0.226   0.1036   0.0580   0.404
0.259   0.0992   0.0577   0.446
0.293   0.0946   0.0574   0.483
0.327   0.0900   0.0571   0.515
0.356   0.0855   0.0567   0.537
0.390   0.0796   0.0558   0.556
0.423   0.0724   0.0539   0.568
0.459   0.0622   0.0501   0.570
0.486   0.0540   0.0466   0.564
0.519   0.0449   0.0424   0.550
0.553   0.0361   0.0381   0.524
0.587   0.0282   0.0342   0.484
0.616   0.0216   0.0309   0.432
0.651   0.0141   0.0268   0.341
