J       CT       CP       eta
0.101   0.0821   0.0375   0.220
0.128   0.0788   0.0376   0.268
0.154   0.0750   0.0374   0.309
0.181   0.0705   0.0369   0.347
0.211   0.0658   0.0363   0.382
0.238   0.0611   0.0355   0.409
0.265   0.0562   0.0345   0.431
0.292   0.0510   0.0334   0.446
0.318   0.0459   0.0321   0.455
0.348   0.0397   0.0304   0.455
0.372   0.0354   0.0291   0.453
0.403   0.0293   0.0272   0.434
0.426   0.0250   0.0257   0.414
0.453   0.0188   0.0234   0.364
0.476   0.0148   0.0222   0.316
0.507   0.0085   0.0200   0.214
0.535   0.0023   0.0178   0.070
