J       CT       CP       eta
0.247   0.1054   0.0767   0.339
0.286   0.1057   0.0761   0.398
0.331   0.1047   0.0757   0.458
0.374   0.1039   0.0756   0.514
0.415   0.1017   0.0765   0.552
0.457   0.0961   0.0762   0.577
0.494   0.0925   0.0761   0.600
0.541   0.0862   0.0756   0.617
0.577   0.0798   0.0738   0.624
0.618   0.0713   0.0709   0.622
0.654   0.0638   0.0678   0.616
0.700   0.0546   0.0636   0.601
0.735   0.0479   0.0598   0.588
0.784   0.0373   0.0535   0.547
0.831   0.0276   0.0482   0.475
