J       CT       CP       eta
0.479   0.1178   0.1020   0.553
0.512   0.1104   0.0998   0.567
0.535   0.1044   0.0975   0.573
0.566   0.0953   0.0937   0.576
0.598   0.0868   0.0901   0.576
0.625   0.0799   0.0869   0.574
0.650   0.0738   0.0843   0.568
0.689   0.0646   0.0804   0.553
0.712   0.0593   0.0783   0.540
0.746   0.0510   0.0744   0.511
0.771   0.0444   0.0716   0.478
0.803   0.0363   0.0677   0.430
0.826   0.0301   0.0648   0.384
0.861   0.0201   0.0597   0.290
0.884   0.0138   0.0566   0.216
0.919   0.0031   0.0507   0.055
0.950   -0.0065   0.0458   -0.135
0.975   -0.0148   0.0413   -0.349
1.007   -0.0253   0.0353   -0.724
1.034   -0.0351   0.0299   -1.213
1.066   -0.0457   0.0236   -2.064
