J       CT       CP       eta
0.128   0.0892   0.0448   0.254
0.160   0.0870   0.0450   0.309
0.195   0.0842   0.0452   0.363
0.223   0.0815   0.0454   0.399
0.258   0.0776   0.0456   0.439
0.290   0.0728   0.0453   0.466
0.323   0.0671   0.0445   0.487
0.353   0.0611   0.0432   0.498
0.385   0.0534   0.0411   0.500
0.422   0.0448   0.0383   0.494
0.448   0.0391   0.0362   0.484
0.486   0.0312   0.0330   0.460
0.508   0.0265   0.0309   0.435
0.545   0.0184   0.0274   0.367
0.577   0.0117   0.0242   0.279
0.608   0.0051   0.0210   0.148
0.640   -0.0013   0.0179   -0.046
