J       CT       CP       eta
0.116   0.0784   0.0465   0.196
0.142   0.0762   0.0463   0.233
0.169   0.0734   0.0461   0.270
0.202   0.0693   0.0455   0.308
0.232   0.0660   0.0451   0.340
0.262   0.0624   0.0445   0.367
0.290   0.0589   0.0439   0.389
0.315   0.0559   0.0434   0.405
0.346   0.0514   0.0425   0.420
0.378   0.0467   0.0413   0.427
0.405   0.0428   0.0405   0.428
0.432   0.0380   0.0392   0.420
0.463   0.0327   0.0377   0.402
0.490   0.0274   0.0360   0.374
0.515   0.0230   0.0346   0.342
0.547   0.0163   0.0324   0.275
0.578   0.0098   0.0302   0.188
