RPM    CT       CP
2011   0.0947   0.0926
2287   0.0949   0.0937
2464   0.0951   0.0935
2788   0.0977   0.0953
3059   0.0980   0.0952
3312   0.1019   0.0988
3572   0.1031   0.0992
3818   0.1036   0.0991
4083   0.1053   0.0986
4333   0.1081   0.1003
4606   0.1086   0.0999
4874   0.1076   0.0993
5126   0.1083   0.0985
5387   0.1102   0.0998
5645   0.1102   0.0996
5900   0.1115   0.0987
