J       CT       CP       eta
0.175   0.0970   0.0520   0.327
0.219   0.0926   0.0524   0.388
0.261   0.0881   0.0526   0.437
0.310   0.0823   0.0528   0.484
0.353   0.0761   0.0520   0.517
0.395   0.0699   0.0511   0.539
0.439   0.0605   0.0487   0.544
0.480   0.0514   0.0457   0.540
0.529   0.0397   0.0411   0.512
0.561   0.0337   0.0385   0.491
0.612   0.0214   0.0329   0.398
0.657   0.0103   0.0276   0.246
0.706   -0.0026   0.0207   -0.088
0.746   -0.0129   0.0147   -0.653
0.780   -0.0211   0.0098   -1.685
