J       CT       CP       eta
0.117   0.1438   0.0774   0.217
0.139   0.1410   0.0764   0.256
0.162   0.1376   0.0755   0.296
0.185   0.1342   0.0746   0.333
0.205   0.1306   0.0736   0.364
0.230   0.1263   0.0725   0.400
0.255   0.1210   0.0710   0.434
0.277   0.1167   0.0698   0.463
0.298   0.1124   0.0685   0.488
0.324   0.1061   0.0665   0.518
0.346   0.1006   0.0647   0.538
0.368   0.0952   0.0628   0.557
0.394   0.0885   0.0605   0.576
0.411   0.0837   0.0587   0.586
0.436   0.0764   0.0558   0.597
0.456   0.0709   0.0538   0.601
