J       CT       CP       eta
0.557   0.0765   0.0676   0.629
0.591   0.0711   0.0668   0.628
0.622   0.0648   0.0651   0.619
0.655   0.0556   0.0611   0.597
0.688   0.0460   0.0559   0.566
0.727   0.0360   0.0502   0.522
0.757   0.0294   0.0464   0.480
0.792   0.0218   0.0418   0.413
0.828   0.0141   0.0371   0.315
0.856   0.0084   0.0335   0.215
0.888   0.0018   0.0296   0.055
0.925   -0.0054   0.0252   -0.198
0.952   -0.0112   0.0214   -0.499
0.990   -0.0190   0.0164   -1.148
1.024   -0.0263   0.0115   -2.339
1.055   -0.0331   0.0068   -5.149
