J       CT       CP       eta
0.193   0.1035   0.0582   0.344
0.244   0.0965   0.0577   0.407
0.288   0.0897   0.0567   0.455
0.342   0.0801   0.0546   0.501
0.395   0.0691   0.0510   0.535
0.440   0.0600   0.0478   0.552
0.495   0.0496   0.0445   0.552
0.535   0.0423   0.0418   0.541
0.592   0.0319   0.0382   0.494
0.629   0.0240   0.0350   0.432
0.680   0.0127   0.0302   0.285
0.738   -0.0009   0.0244   -0.028
0.790   -0.0136   0.0189   -0.569
0.824   -0.0227   0.0147   -1.271
0.879   -0.0368   0.0084   -3.859
