J       CT       CP       eta
0.099   0.1104   0.0586   0.186
0.124   0.1080   0.0585   0.230
0.151   0.1053   0.0584   0.273
0.178   0.1024   0.0582   0.313
0.207   0.0989   0.0579   0.354
0.234   0.0959   0.0578   0.388
0.261   0.0923   0.0576   0.418
0.288   0.0890   0.0572   0.448
0.317   0.0835   0.0562   0.471
0.345   0.0815   0.0569   0.494
0.372   0.0774   0.0566   0.509
0.399   0.0723   0.0557   0.518
0.423   0.0672   0.0543   0.523
0.453   0.0596   0.0518   0.522
0.475   0.0543   0.0498   0.518
0.506   0.0460   0.0464   0.501
0.529   0.0407   0.0443   0.486
