J       CT       CP       eta
0.373   0.0833   0.0525   0.592
0.394   0.0809   0.0525   0.607
0.416   0.0780   0.0522   0.621
0.437   0.0753   0.0520   0.633
0.458   0.0719   0.0515   0.641
0.480   0.0684   0.0509   0.646
0.501   0.0650   0.0503   0.648
0.523   0.0604   0.0489   0.646
0.546   0.0558   0.0475   0.642
0.571   0.0499   0.0453   0.629
0.593   0.0437   0.0425   0.609
0.616   0.0368   0.0391   0.580
0.637   0.0317   0.0366   0.551
0.659   0.0258   0.0336   0.505
0.682   0.0202   0.0307   0.448
0.700   0.0164   0.0287   0.398
0.724   0.0108   0.0258   0.303
0.750   0.0048   0.0226   0.159
0.764   0.0017   0.0209   0.062
0.790   -0.0042   0.0175   -0.189
0.812   -0.0089   0.0149   -0.486
0.832   -0.0132   0.0123   -0.895
