J       CT       CP       eta
0.154   0.0734   0.0352   0.320
0.199   0.0664   0.0342   0.385
0.236   0.0606   0.0335   0.426
0.270   0.0529   0.0319   0.448
0.311   0.0463   0.0312   0.462
0.359   0.0370   0.0298   0.445
0.402   0.0271   0.0280   0.389
0.445   0.0162   0.0259   0.279
0.480   0.0072   0.0239   0.146
0.520   -0.0051   0.0209   -0.127
0.568   -0.0168   0.0188   -0.506
0.608   -0.0287   0.0162   -1.078
0.656   -0.0433   0.0129   -2.199
0.680   -0.0508   0.0112   -3.070
0.732   -0.0679   0.0075   -6.660
