J       CT       CP       eta
0.138   0.1189   0.1113   0.148
0.173   0.1169   0.1095   0.185
0.208   0.1144   0.1078   0.221
0.245   0.1120   0.1062   0.258
0.283   0.1093   0.1045   0.296
0.314   0.1073   0.1033   0.326
0.357   0.1050   0.1013   0.370
0.397   0.1046   0.1001   0.414
0.431   0.1019   0.0990   0.444
0.468   0.0993   0.0982   0.473
0.503   0.0951   0.0975   0.491
0.539   0.0907   0.0972   0.504
0.568   0.0866   0.0967   0.509
0.606   0.0811   0.0960   0.512
0.651   0.0732   0.0944   0.505
0.685   0.0674   0.0935   0.494
0.719   0.0603   0.0918   0.472
