J       CT       CP       eta
0.154   0.1016   0.0573   0.274
0.193   0.0979   0.0574   0.329
0.232   0.0932   0.0573   0.378
0.275   0.0881   0.0573   0.423
0.318   0.0820   0.0570   0.457
0.358   0.0740   0.0554   0.478
0.401   0.0639   0.0520   0.492
0.437   0.0555   0.0490   0.495
0.483   0.0453   0.0450   0.488
0.518   0.0390   0.0430   0.470
0.566   0.0279   0.0388   0.407
0.606   0.0194   0.0350   0.336
0.647   0.0104   0.0305   0.222
0.677   0.0013   0.0250   0.036
0.723   -0.0081   0.0209   -0.278
0.763   -0.0188   0.0156   -0.921
0.804   -0.0290   0.0099   -2.346
