J       CT       CP       eta
0.395   0.0327   0.0352   0.366
0.420   0.0294   0.0344   0.359
0.442   0.0264   0.0335   0.349
0.464   0.0232   0.0324   0.331
0.486   0.0196   0.0311   0.307
0.508   0.0156   0.0295   0.269
0.536   0.0104   0.0275   0.203
0.557   0.0058   0.0255   0.127
0.579   0.0010   0.0235   0.026
0.610   -0.0054   0.0207   -0.161
0.631   -0.0095   0.0188   -0.318
0.653   -0.0140   0.0167   -0.549
0.680   -0.0195   0.0140   -0.948
0.699   -0.0236   0.0119   -1.390
0.726   -0.0297   0.0089   -2.409
0.744   -0.0339   0.0068   -3.681
