J       CT       CP       eta
0.451   0.0967   0.0803   0.543
0.481   0.0915   0.0795   0.554
0.503   0.0871   0.0784   0.559
0.529   0.0820   0.0770   0.563
0.555   0.0764   0.0753   0.563
0.584   0.0696   0.0729   0.558
0.615   0.0614   0.0693   0.545
0.641   0.0555   0.0671   0.531
0.665   0.0493   0.0640   0.512
0.685   0.0443   0.0617   0.492
0.722   0.0339   0.0561   0.436
0.744   0.0281   0.0529   0.396
0.769   0.0212   0.0489   0.333
0.800   0.0121   0.0435   0.223
0.820   0.0068   0.0402   0.139
0.854   -0.0030   0.0339   -0.077
0.873   -0.0090   0.0301   -0.260
0.908   -0.0193   0.0236   -0.741
0.934   -0.0269   0.0185   -1.359
0.961   -0.0351   0.0128   -2.631
