J       CT       CP       eta
0.450   0.0305   0.0427   0.321
0.476   0.0259   0.0410   0.301
0.505   0.0209   0.0392   0.269
0.537   0.0149   0.0371   0.216
0.562   0.0106   0.0354   0.167
0.591   0.0042   0.0332   0.075
0.614   -0.0004   0.0313   -0.008
0.645   -0.0066   0.0287   -0.148
0.663   -0.0108   0.0271   -0.264
0.694   -0.0180   0.0242   -0.515
0.722   -0.0244   0.0216   -0.818
0.749   -0.0315   0.0186   -1.266
0.782   -0.0402   0.0147   -2.143
0.807   -0.0468   0.0117   -3.222
0.838   -0.0559   0.0084   -5.550
