J       CT       CP       eta
0.104   0.1031   0.0813   0.131
0.130   0.1014   0.0797   0.166
0.154   0.1010   0.0789   0.197
0.185   0.1003   0.0766   0.243
0.207   0.1007   0.0751   0.278
0.238   0.1041   0.0718   0.346
0.262   0.1065   0.0705   0.396
0.289   0.1051   0.0704   0.432
0.317   0.1037   0.0704   0.466
0.343   0.1014   0.0703   0.495
0.369   0.0998   0.0706   0.521
0.397   0.0969   0.0703   0.547
0.423   0.0948   0.0704   0.570
0.446   0.0927   0.0704   0.587
0.471   0.0898   0.0702   0.603
0.497   0.0872   0.0703   0.617
0.524   0.0842   0.0701   0.629
