J       CT       CP       eta
0.448   0.0947   0.0763   0.556
0.476   0.0906   0.0759   0.569
0.505   0.0864   0.0754   0.578
0.532   0.0821   0.0751   0.581
0.556   0.0780   0.0748   0.580
0.580   0.0729   0.0737   0.573
0.610   0.0650   0.0712   0.557
0.634   0.0586   0.0687   0.541
0.664   0.0492   0.0642   0.508
0.692   0.0410   0.0600   0.473
0.719   0.0342   0.0566   0.434
0.747   0.0266   0.0525   0.379
0.778   0.0185   0.0481   0.300
0.799   0.0135   0.0453   0.238
0.831   0.0052   0.0409   0.105
0.850   0.0006   0.0385   0.014
0.881   -0.0072   0.0343   -0.184
0.913   -0.0150   0.0300   -0.456
0.940   -0.0216   0.0263   -0.773
0.966   -0.0278   0.0229   -1.174
0.993   -0.0352   0.0187   -1.865
