J       CT       CP       eta
0.110   0.1074   0.0528   0.223
0.136   0.1053   0.0531   0.270
0.158   0.1035   0.0532   0.307
0.186   0.1009   0.0534   0.352
0.215   0.0981   0.0536   0.394
0.241   0.0953   0.0537   0.428
0.265   0.0925   0.0537   0.457
0.293   0.0890   0.0536   0.487
0.318   0.0857   0.0536   0.509
0.344   0.0821   0.0536   0.528
0.371   0.0776   0.0532   0.541
0.397   0.0722   0.0522   0.549
0.424   0.0652   0.0501   0.552
0.453   0.0563   0.0468   0.546
0.477   0.0504   0.0444   0.540
0.503   0.0437   0.0417   0.527
0.533   0.0365   0.0387   0.503
