J       CT       CP       eta
0.498   0.0744   0.0559   0.662
0.531   0.0701   0.0556   0.669
0.559   0.0654   0.0547   0.668
0.589   0.0596   0.0530   0.662
0.617   0.0525   0.0501   0.646
0.648   0.0446   0.0465   0.621
0.682   0.0359   0.0416   0.589
0.705   0.0304   0.0384   0.558
0.731   0.0251   0.0352   0.522
0.765   0.0186   0.0315   0.453
0.799   0.0122   0.0274   0.356
0.826   0.0074   0.0246   0.249
0.853   0.0026   0.0218   0.103
0.889   -0.0041   0.0175   -0.206
0.915   -0.0090   0.0143   -0.579
