J       CT       CP       eta
0.202   0.0751   0.0700   0.217
0.251   0.0717   0.0692   0.260
0.304   0.0677   0.0681   0.303
0.355   0.0626   0.0666   0.334
0.412   0.0557   0.0649   0.353
0.469   0.0472   0.0631   0.351
0.514   0.0403   0.0611   0.339
0.565   0.0314   0.0575   0.308
0.625   0.0201   0.0534   0.235
0.670   0.0109   0.0484   0.151
0.732   -0.0019   0.0433   -0.032
0.766   -0.0090   0.0410   -0.168
0.835   -0.0241   0.0330   -0.610
0.887   -0.0369   0.0276   -1.186
0.919   -0.0464   0.0235   -1.818
0.990   -0.0648   0.0132   -5.192
1.017   -0.0714   0.0129   -5.633
