RPM    CT       CP
2015   0.0599   0.0291
2266   0.0620   0.0294
2575   0.0639   0.0294
2846   0.0651   0.0291
3135   0.0666   0.0292
3402   0.0681   0.0292
3683   0.0695   0.0294
3970   0.0712   0.0295
4250   0.0724   0.0295
4528   0.0733   0.0295
4809   0.0744   0.0295
5089   0.0755   0.0297
5354   0.0759   0.0296
5655   0.0768   0.0297
5933   0.0776   0.0298
6222   0.0784   0.0298
