J       CT       CP       eta
0.376   0.0783   0.0520   0.566
0.397   0.0749   0.0515   0.577
0.419   0.0716   0.0513   0.585
0.441   0.0679   0.0506   0.592
0.466   0.0626   0.0492   0.593
0.487   0.0583   0.0480   0.591
0.506   0.0533   0.0463   0.583
0.533   0.0467   0.0439   0.567
0.556   0.0405   0.0412   0.547
0.578   0.0349   0.0387   0.522
0.596   0.0303   0.0366   0.493
0.621   0.0239   0.0336   0.442
0.644   0.0189   0.0311   0.391
0.669   0.0128   0.0283   0.302
0.688   0.0081   0.0260   0.214
0.713   0.0019   0.0228   0.060
0.732   -0.0029   0.0204   -0.103
0.757   -0.0090   0.0172   -0.394
0.775   -0.0129   0.0150   -0.669
0.802   -0.0196   0.0112   -1.404
0.819   -0.0239   0.0087   -2.263
