J       CT       CP       eta
0.088   0.1219   0.0594   0.181
0.114   0.1201   0.0601   0.229
0.139   0.1181   0.0605   0.270
0.163   0.1160   0.0610   0.309
0.190   0.1128   0.0613   0.350
0.217   0.1097   0.0615   0.386
0.243   0.1063   0.0618   0.417
0.268   0.1028   0.0618   0.445
0.293   0.0985   0.0616   0.469
0.316   0.0945   0.0612   0.488
0.342   0.0894   0.0603   0.507
0.370   0.0830   0.0588   0.523
0.393   0.0779   0.0576   0.532
0.417   0.0722   0.0559   0.537
0.445   0.0647   0.0534   0.540
0.468   0.0591   0.0514   0.538
0.491   0.0527   0.0490   0.529
