J       CT       CP       eta
0.130   0.0840   0.0391   0.279
0.160   0.0792   0.0385   0.328
0.195   0.0724   0.0374   0.377
0.225   0.0671   0.0362   0.416
0.257   0.0611   0.0349   0.449
0.290   0.0551   0.0335   0.477
0.324   0.0488   0.0320   0.495
0.354   0.0430   0.0304   0.501
0.390   0.0362   0.0286   0.493
0.419   0.0307   0.0272   0.474
0.449   0.0251   0.0257   0.438
0.476   0.0197   0.0242   0.387
0.512   0.0123   0.0221   0.284
0.544   0.0050   0.0198   0.137
0.577   -0.0026   0.0173   -0.086
0.609   -0.0104   0.0146   -0.431
0.643   -0.0185   0.0119   -0.996
