J       CT       CP       eta
0.406   0.0464   0.0418   0.450
0.432   0.0418   0.0405   0.446
0.455   0.0374   0.0393   0.433
0.477   0.0331   0.0380   0.416
0.505   0.0274   0.0362   0.382
0.530   0.0228   0.0347   0.347
0.553   0.0183   0.0333   0.303
0.575   0.0133   0.0316   0.242
0.599   0.0080   0.0298   0.160
0.624   0.0023   0.0279   0.051
0.648   -0.0031   0.0261   -0.078
0.672   -0.0088   0.0242   -0.243
0.702   -0.0159   0.0218   -0.512
0.721   -0.0203   0.0201   -0.730
0.749   -0.0261   0.0181   -1.081
0.768   -0.0303   0.0167   -1.397
0.799   -0.0375   0.0142   -2.113
0.821   -0.0425   0.0125   -2.783
0.838   -0.0462   0.0113   -3.421
0.869   -0.0534   0.0090   -5.147
0.894   -0.0591   0.0073   -7.212
0.910   -0.0624   0.0065   -8.726
