J       CT       CP       eta
0.088   0.1058   0.0488   0.191
0.111   0.1040   0.0490   0.236
0.133   0.1030   0.0496   0.275
0.155   0.1016   0.0501   0.314
0.177   0.0998   0.0504   0.350
0.195   0.0986   0.0509   0.379
0.220   0.0965   0.0513   0.415
0.243   0.0945   0.0517   0.445
0.264   0.0926   0.0520   0.471
0.287   0.0902   0.0521   0.497
0.307   0.0879   0.0522   0.517
0.332   0.0853   0.0524   0.541
0.350   0.0828   0.0522   0.556
0.373   0.0800   0.0521   0.573
0.393   0.0770   0.0517   0.586
0.415   0.0738   0.0513   0.598
0.437   0.0706   0.0508   0.608
