J       CT       CP       eta
0.091   0.1288   0.0649   0.181
0.122   0.1270   0.0659   0.234
0.146   0.1256   0.0667   0.274
0.167   0.1240   0.0674   0.308
0.193   0.1220   0.0680   0.346
0.215   0.1201   0.0687   0.376
0.240   0.1170   0.0690   0.408
0.263   0.1147   0.0694   0.435
0.286   0.1118   0.0696   0.460
0.311   0.1087   0.0698   0.484
0.335   0.1051   0.0696   0.505
0.358   0.1018   0.0694   0.524
0.381   0.0978   0.0690   0.540
0.406   0.0938   0.0686   0.555
0.428   0.0901   0.0681   0.566
0.452   0.0859   0.0674   0.575
0.474   0.0815   0.0665   0.580
