J       CT       CP       eta
0.311   0.0964   0.0766   0.391
0.365   0.0962   0.0757   0.464
0.410   0.0933   0.0754   0.507
0.467   0.0871   0.0750   0.543
0.521   0.0804   0.0743   0.564
0.567   0.0728   0.0719   0.575
0.619   0.0642   0.0682   0.582
0.670   0.0550   0.0643   0.573
0.729   0.0438   0.0579   0.550
0.781   0.0331   0.0514   0.502
0.824   0.0237   0.0463   0.423
0.882   0.0111   0.0375   0.261
0.935   -0.0001   0.0298   -0.004
0.986   -0.0110   0.0219   -0.493
1.030   -0.0194   0.0157   -1.272
