J       CT       CP       eta
0.097   0.1067   0.0522   0.198
0.126   0.1047   0.0525   0.252
0.145   0.1036   0.0527   0.285
0.169   0.1019   0.0529   0.325
0.193   0.1001   0.0530   0.363
0.218   0.0977   0.0531   0.402
0.241   0.0958   0.0532   0.433
0.266   0.0932   0.0533   0.465
0.290   0.0909   0.0534   0.495
0.311   0.0887   0.0534   0.517
0.339   0.0855   0.0534   0.542
0.358   0.0832   0.0534   0.558
0.385   0.0800   0.0533   0.577
0.409   0.0760   0.0529   0.588
0.429   0.0725   0.0523   0.594
0.456   0.0673   0.0512   0.599
0.480   0.0618   0.0496   0.597
