J       CT       CP       eta
0.112   0.1063   0.0578   0.207
0.144   0.1079   0.0572   0.272
0.175   0.1055   0.0580   0.318
0.203   0.1032   0.0585   0.358
0.235   0.1003   0.0590   0.399
0.264   0.0975   0.0594   0.433
0.294   0.0946   0.0598   0.464
0.324   0.0913   0.0600   0.493
0.353   0.0879   0.0601   0.517
0.382   0.0846   0.0601   0.537
0.407   0.0815   0.0599   0.553
0.436   0.0776   0.0596   0.568
0.468   0.0728   0.0588   0.579
0.491   0.0697   0.0584   0.587
0.519   0.0654   0.0574   0.591
0.546   0.0609   0.0564   0.590
0.573   0.0560   0.0549   0.584
