J       CT       CP       eta
0.096   0.1461   0.0769   0.183
0.133   0.1439   0.0785   0.243
0.160   0.1419   0.0793   0.287
0.190   0.1394   0.0801   0.331
0.222   0.1363   0.0809   0.374
0.245   0.1338   0.0813   0.403
0.280   0.1297   0.0818   0.443
0.309   0.1259   0.0820   0.475
0.341   0.1215   0.0821   0.505
0.369   0.1175   0.0821   0.528
0.398   0.1130   0.0818   0.551
0.427   0.1083   0.0812   0.569
0.454   0.1036   0.0805   0.585
0.482   0.0987   0.0795   0.599
0.516   0.0925   0.0781   0.611
0.540   0.0881   0.0771   0.617
0.568   0.0821   0.0751   0.622
