RPM    CT       CP
1502   0.1058   0.0875
1641   0.1057   0.0868
1777   0.1088   0.0879
1908   0.1096   0.0875
2038   0.1085   0.0863
2177   0.1105   0.0875
2303   0.1116   0.0872
2451   0.1106   0.0859
2572   0.1118   0.0860
2703   0.1122   0.0852
2843   0.1133   0.0851
2969   0.1135   0.0844
3106   0.1141   0.0836
3243   0.1153   0.0825
3374   0.1159   0.0825
3501   0.1156   0.0820
