J       CT       CP       eta
0.097   0.1129   0.0557   0.197
0.124   0.1110   0.0563   0.245
0.144   0.1099   0.0569   0.278
0.170   0.1078   0.0574   0.319
0.193   0.1058   0.0578   0.353
0.220   0.1036   0.0585   0.389
0.244   0.1014   0.0590   0.420
0.265   0.0989   0.0591   0.444
0.291   0.0960   0.0594   0.471
0.314   0.0934   0.0595   0.494
0.342   0.0903   0.0596   0.518
0.365   0.0874   0.0596   0.535
0.387   0.0854   0.0599   0.552
0.411   0.0821   0.0596   0.566
0.435   0.0788   0.0594   0.577
0.458   0.0753   0.0588   0.587
0.482   0.0720   0.0584   0.595
