J       CT       CP       eta
0.075   0.0714   0.0301   0.179
0.102   0.0679   0.0298   0.232
0.119   0.0650   0.0294   0.263
0.145   0.0611   0.0289   0.307
0.167   0.0576   0.0283   0.339
0.189   0.0538   0.0277   0.367
0.212   0.0501   0.0269   0.394
0.233   0.0467   0.0264   0.413
0.259   0.0423   0.0255   0.429
0.278   0.0390   0.0249   0.436
0.302   0.0350   0.0240   0.439
0.326   0.0304   0.0230   0.431
0.347   0.0266   0.0220   0.419
0.371   0.0221   0.0208   0.394
0.391   0.0184   0.0197   0.365
0.417   0.0132   0.0181   0.303
0.436   0.0095   0.0169   0.244
