J       CT       CP       eta
0.172   0.0980   0.1179   0.143
0.217   0.0959   0.1166   0.179
0.263   0.0927   0.1143   0.213
0.306   0.0901   0.1131   0.244
0.352   0.0866   0.1108   0.275
0.406   0.0826   0.1089   0.308
0.447   0.0791   0.1071   0.330
0.501   0.0750   0.1052   0.357
0.539   0.0712   0.1034   0.372
0.587   0.0665   0.1020   0.382
0.631   0.0614   0.1008   0.384
0.671   0.0558   0.0994   0.376
0.717   0.0475   0.0968   0.352
0.760   0.0407   0.0952   0.325
0.804   0.0317   0.0916   0.278
0.860   0.0199   0.0867   0.197
0.897   0.0124   0.0833   0.134
