J       CT       CP       eta
0.485   0.0978   0.0792   0.599
0.513   0.0930   0.0782   0.610
0.544   0.0871   0.0766   0.619
0.569   0.0822   0.0750   0.623
0.598   0.0762   0.0730   0.624
0.636   0.0675   0.0694   0.619
0.663   0.0587   0.0648   0.601
0.694   0.0525   0.0622   0.586
0.716   0.0466   0.0589   0.566
0.750   0.0370   0.0535   0.518
0.782   0.0281   0.0484   0.455
0.803   0.0227   0.0452   0.403
0.841   0.0113   0.0387   0.245
0.869   0.0035   0.0336   0.091
0.901   -0.0059   0.0278   -0.190
0.929   -0.0140   0.0230   -0.563
0.959   -0.0222   0.0178   -1.198
0.988   -0.0296   0.0127   -2.298
