J       CT       CP       eta
0.149   0.1294   0.1020   0.189
0.189   0.1302   0.1011   0.244
0.226   0.1287   0.1016   0.287
0.265   0.1266   0.1020   0.329
0.310   0.1256   0.1019   0.382
0.346   0.1210   0.1019   0.411
0.388   0.1178   0.1037   0.441
0.428   0.1119   0.1036   0.462
0.467   0.1068   0.1041   0.479
0.506   0.1004   0.1047   0.486
0.541   0.0952   0.1052   0.489
0.585   0.0844   0.1033   0.478
0.627   0.0724   0.0998   0.455
0.660   0.0617   0.0955   0.427
0.697   0.0498   0.0903   0.385
0.733   0.0411   0.0866   0.347
0.779   0.0294   0.0816   0.280
