J       CT       CP       eta
0.126   0.0991   0.0678   0.183
0.157   0.0959   0.0675   0.223
0.188   0.0928   0.0673   0.260
0.219   0.0898   0.0672   0.293
0.255   0.0860   0.0669   0.328
0.286   0.0826   0.0666   0.356
0.318   0.0794   0.0663   0.381
0.353   0.0751   0.0657   0.403
0.380   0.0719   0.0652   0.418
0.416   0.0665   0.0642   0.431
0.440   0.0632   0.0636   0.437
0.471   0.0585   0.0625   0.441
0.507   0.0532   0.0611   0.441
0.536   0.0482   0.0596   0.434
0.570   0.0424   0.0576   0.419
0.598   0.0377   0.0559   0.403
0.635   0.0307   0.0535   0.365
