J       CT       CP       eta
0.659   0.0620   0.0969   0.421
0.694   0.0518   0.0922   0.390
0.738   0.0395   0.0863   0.338
0.776   0.0296   0.0817   0.281
0.822   0.0186   0.0771   0.199
0.848   0.0121   0.0751   0.137
0.895   -0.0005   0.0697   -0.006
0.925   -0.0082   0.0662   -0.114
0.974   -0.0204   0.0600   -0.331
1.003   -0.0282   0.0562   -0.502
1.052   -0.0430   0.0493   -0.919
1.092   -0.0545   0.0430   -1.386
1.118   -0.0626   0.0392   -1.788
1.182   -0.0817   0.0288   -3.349
1.222   -0.0961   0.0220   -5.337
1.256   -0.1075   0.0156   -8.692
1.295   -0.1205   0.0091   -17.160
