RPM    CT       CP
1644   0.0708   0.0472
1867   0.0726   0.0462
2149   0.0737   0.0458
2401   0.0750   0.0466
2654   0.0762   0.0454
2946   0.0779   0.0451
3197   0.0805   0.0458
3467   0.0818   0.0455
3734   0.0831   0.0456
4002   0.0841   0.0452
4276   0.0855   0.0453
4540   0.0860   0.0450
4796   0.0874   0.0448
5071   0.0885   0.0452
5331   0.0891   0.0448
5597   0.0895   0.0446
